Artist             ,Number of Appearances      ,Total Number of Streamed time    
Cardi B,1,6231089
Maluma,4,8035552
24kGoldn,1,4683176
BTS,2,5165723
The Weeknd,2,4839062
Jawsh 685,1,3693480
Harry Styles,3,5902159
BLACKPINK,2,5403757
DaBaby,1,3526327
Drake,3,5653917
Pop Smoke,5,8459514
SAINt JHN,1,2463512
KAROL G,2,3550524
Topic,1,2378157
Conan Gray,1,2357919
J Balvin,3,4109699
Joel Corry,1,2273075
Juice WRLD,10,12119998
Lady Gaga,3,3721650
Jay Wheeler,1,2067988
Nio Garcia,1,2021056
Rauw Alejandro,2,2869959
Ozuna,2,2794846
Tones And I,1,1953424
Internet Money,2,3110976
Powfu,1,1891140
Lewis Capaldi,3,4356786
Miley Cyrus,2,2643989
Calvin Harris,1,1847523
Sech,1,1825482
Tate McRae,1,1791626
Tainy,1,1785764
Jack Harlow,2,2528306
Chris Brown,2,2337214
Lil Mosey,1,1598606
Dua Lipa,3,3885512
DJ Khaled,2,2614976
Black Eyed Peas,2,2198957
Surf Mesa,1,1521061
Aya Nakamura,1,1520084
KHEA,1,1492566
Ariana Grande,2,2249075
Trueno,1,1459076
Ava Max,1,1449405
StaySolidRocky,1,1431180
Labrinth,1,1373889
Post Malone,3,3244214
Roddy Ricch,1,1306226
Jason Derulo,1,1285125
Travis Scott,4,4280024
Taylor Swift,4,3559187
BØRNS,1,1198406
Jerry Di,1,1192069
Trevor Daniel,1,1167624
Justin Bieber,2,1807039
Maroon 5,2,1954438
Shawn Mendes,1,1145630
Billie Eilish,5,4962362
Machine Gun Kelly,1,1126562
ROSALÍA,1,1116911
K/DA,1,1065716
Marshmello,2,1734318
Super Yei,1,1049332
Anuel AA,1,1023474
Curtis Waters,1,1006857
Future,1,994943
Doja Cat,2,1680480
Arizona Zervas,1,983822
Camilo,2,1760389
Regard,2,1922601
Feid,1,955077
JP Saxe,1,954468
THE SCOTTS,1,954280
Kane Brown,1,922887
Jul,1,920389
BENEE,1,916086
Surfaces,1,915410
Imagine Dragons,1,905889
ITZY,1,880289
Nea,1,861082
Melanie Martinez,1,850313
Don Toliver,1,832546
XXXTENTACION,3,2263047
Eminem,1,831791
Harry Nach,1,825628
Bad Bunny,2,1610739
Ed Sheeran,4,3055943
James Arthur,1,809481
Blackbear,1,801368
Wallows,1,800856
Jhay Cortez,1,773686
Kendrick Lamar,1,768587
Kygo,2,1399861
Gunna,1,740981
6ix9ine,1,733547
Saweetie,1,733410
The Kid LAROI,1,727573
MEDUZA,1,727339
Queen,1,725536
WhoHeem,1,724310
Niack,1,720086
Megan Thee Stallion,1,719207
Polo G,2,1352618
BANNERS,1,705938
John Legend,1,698957
Bea Miller,1,698351
Morgan Wallen,1,698107
Justin Quiles,1,689134
Manuel Turizo,1,688399
Dean Lewis,1,688307
Halsey,1,683957
Lil Baby,1,678949
Kina,1,677862
Passenger,1,671391
Peach Tree Rascals,1,665863
Katy Perry,1,665081
Robin Schulz,1,662878
Alex Rose,1,662078
KitschKrieg,1,660876
The Chainsmokers,1,660337
Tame Impala,1,657356
JACKBOYS,1,646580
The Neighbourhood,1,645710
Noah Cyrus,1,645326
Rod Wave,1,643529
Ali Gatie,1,639564
Headie One,1,637442
Conkarah,1,637057
Vance Joy,1,630590
Dalex,1,626660
Selena Gomez,1,626222
Jowell & Randy,1,625178
Kontra K,1,621791